,time,x,y,z,Latitude,Longitude
0,0.000453125,2.129199982,4.139999866,1.565099955,23.7663234,90.3567911
1,0.010498438,4.23029995,2.178999901,4.60710001,23.7663455,90.356765
2,0.020454688,5.874000072,0.225899994,5.530399799,23.7663286,90.3566848
3,0.030454688,6.683699608,-2.044299841,3.250699997,23.7663256,90.3566339
4,0.040454688,6.604499817,-4.157099724,0.918299973,23.7669523,90.3566392
5,0.050496875,2.913599968,-3.681199789,-2.810899973,23.7667328,90.3566838
6,0.060457813,-1.491699934,-1.332399964,-5.292900085,23.7669301,90.3566928
7,0.070453125,-3.2651999,0.354000002,-6.12319994,23.7668201,90.3566281
8,0.080451563,-2.494499922,0.23089999,-4.098700047,23.7668939,90.3566893
9,0.090496875,-1.938899994,-0.561500013,-0.608399987,23.7669493,90.3566599
10,0.100454688,-2.201400042,-0.581799984,0.87379998,23.7669943,90.3566382
11,0.110460938,-1.903099895,-0.229699999,-0.839599967,23.7663286,90.3566843
12,0.120451563,-1.386899948,0.653999984,-3.505899906,23.7669303,90.3566094
13,0.130496875,-1.441399932,1.065999985,-3.889999866,23.7669233,90.3566483
14,0.140454688,-1.466699958,0.558200002,-2.098500013,23.7663992,90.3566984
15,0.150451563,-1.321099997,-0.2192,-0.040999997,23.7663021,90.3566819
16,0.160457813,-1.077899933,-0.564700007,1.07159996,23.7669302,90.3566448
17,0.170495313,-0.236899987,-0.426499993,1.319100022,23.7663232,90.3566808
18,0.180454688,-0.422199994,-0.274800003,-0.592199981,23.7662329,90.3566891
19,0.190453125,-1.968799949,-0.681100011,-3.38139987,23.7662002,90.356686
20,0.200454688,-3.69749999,-2.443300009,-5.660699844,23.7663399,90.3566399
21,0.210457813,-4.183700085,-3.303799868,-4.040100098,23.7663212,90.3566865
22,0.220453125,-2.346099854,-2.042099953,-1.926499963,23.7663211,90.3566565
23,0.230454688,-1.279199958,0.209600002,-1.774199963,23.7663245,90.3566908
24,0.240453125,-0.371299982,-1.433899999,-4.030799866,23.7663232,90.3566771
25,0.250454688,-0.911199987,-3.900099993,-5.507599831,23.7663233,90.3566998
26,0.260501563,-0.885800004,-4.452399731,-3.201299906,23.7663275,90.3566654
27,0.270454688,-0.493999988,-3.654999971,-1.796899915,23.766325,90.3566866
28,0.28045625,0.717599988,-3.461199999,-1.789899945,23.7663299,90.3566237
29,0.290451563,0.643700004,-3.444499969,-2.747499943,23.7663223,90.3566459
30,0.300453125,-0.259799987,-3.745100021,-3.767199993,23.7663266,90.3566198
31,0.310460938,-0.862100005,-4.508299828,-3.859399796,23.7663238,90.3566555
32,0.320451563,-0.939799964,-5.220699787,-3.996199846,23.7663134,90.3566448
33,0.330454688,-1.577999949,-4.870699883,-4.306999683,23.7663165,90.3566567
34,0.34049375,-2.345399857,-3.922599792,-2.807799816,23.7663112,90.3566489
35,0.350451563,-2.26880002,-3.017099857,-1.007699966,23.7663167,90.3566482
36,0.360467188,-1.212599993,-2.131599903,-0.550099969,23.7663098,90.3566097
37,0.370495313,-0.23709999,-1.193899989,-1.194700003,23.7663008,90.3566113
38,0.380454688,0.256399989,-0.503199995,-2.154899836,23.7663078,90.3566169
39,0.390453125,-0.408600003,0.982599974,-2.116400003,23.7663097,90.3566278
40,0.400496875,-1.49119997,3.199699879,0.758599997,23.7663077,90.3565668
41,0.410465625,-1.175799966,4.480400085,2.841099977,23.7663032,90.3565842
42,0.420454688,0.0942,4.901199818,1.931999922,23.7663174,90.3566225
43,0.430496875,1.301399946,4.668399811,-0.041999999,23.7663063,90.3566166
44,0.440453125,1.46449995,4.462500095,-2.189899921,23.7663192,90.3566172
45,0.450451563,0.805599988,4.516200066,-2.707999945,23.7663292,90.3566855
46,0.460498438,0.130400002,4.259500027,-2.33769989,23.7663821,90.3566893
47,0.470454688,0.048599999,3.252699852,-2.471999884,23.7663384,90.3566339
48,0.480453125,0.398099989,1.784999967,-3.087800026,23.7663593,90.3566227
49,0.490454688,0.265199989,1.068400025,-3.353499889,23.7669922,90.3566848
50,0.500496875,-0.273999989,1.131399989,-2.714999914,23.7663383,90.3566677
51,0.51045625,-0.927399993,1.505199909,1.478899956,23.766324,90.3565705
52,0.520454688,-0.286799997,1.862100005,4.923399925,23.7663154,90.3564736
53,0.530454688,1.086799979,2.258299828,5.631199837,23.7663176,90.3563479
54,0.540451563,1.033100009,2.67689991,6.013700008,23.7663044,90.3562607
55,0.550496875,-0.547500014,3.209399939,5.371399879,23.7663038,90.3561772
56,0.560464063,-2.075199842,3.868399858,2.846199989,23.7663087,90.3561243
57,0.570451563,-2.253399849,4.524199963,0.468400002,23.7663136,90.3561042
58,0.58045625,-1.164399981,5.29489994,0.690699995,23.7663041,90.3560686
59,0.590454688,-0.602999985,5.225899696,1.752999902,23.7663019,90.3560099
60,0.600451563,-0.319900006,3.205699921,1.446299911,23.7662986,90.3559268
61,0.6104625,-0.252299994,1.16839993,0.853100002,23.7662848,90.3558322
62,0.620454688,-0.961099982,0.590399981,0.509499967,23.7662826,90.3558175
63,0.630454688,-1.583499908,0.931599975,1.446999907,23.7662734,90.3557558
64,0.640453125,-1.512399912,1.572899938,3.122499943,23.7661145,90.3522937
65,0.650451563,-0.74970001,1.952499986,3.840699911,23.7661013,90.3531956
66,0.66050625,-0.469799995,2.175600052,4.14989996,23.7663265,90.3531527
67,0.670454688,-0.491299987,2.422499895,4.483200073,23.7663919,90.3531393
68,0.680454688,-0.391299993,2.851500034,3.717099905,23.7664278,90.3531427
69,0.690451563,-0.508099973,3.368599892,2.043200016,23.7664462,90.3531718
70,0.700454688,-0.850999951,3.261299849,-1.565199971,23.7664514,90.3531869
71,0.710498438,-0.442799985,2.481400013,-4.70359993,23.7664532,90.3532077
72,0.720453125,-0.182099998,2.206699848,-5.113800049,23.7664548,90.3532241
73,0.73045625,0.232099995,2.471199989,-3.672099829,23.7664689,90.3532369
74,0.740453125,1.277099967,2.387799978,-1.397599936,23.7664551,90.3532439
75,0.75049375,3.066699982,1.328699946,0.952099979,23.7664612,90.3532567
76,0.760457813,5.172800064,-0.161299989,1.903800011,23.7664578,90.3532667
77,0.770454688,6.509500027,-1.222599983,1.620399952,23.7664655,90.3532764
78,0.78045625,5.414000034,-0.708299995,0.709399998,23.7664575,90.3532862
79,0.790496875,3.379999876,0.170000002,-0.910899997,23.7664661,90.3532986
80,0.800454688,2.33130002,0.466899991,-1.835699916,23.7664627,90.3533163
81,0.810467188,1.634899974,0.161699995,-2.625599861,23.7664756,90.3533244
82,0.820454688,-0.0145,-0.0049,-3.330499887,23.7664649,90.3533385
83,0.830496875,-2.186800003,0.309100002,-3.498299837,23.7664756,90.3533539
84,0.840451563,-3.419199944,0.669399977,-2.194700003,23.7664683,90.353367
85,0.850451563,-2.859200001,0.512699962,-0.258699983,23.7664824,90.3533847
86,0.860501563,-1.776600003,0.146599993,1.216099977,23.7664759,90.3534035
87,0.870454688,-0.960899949,-0.115599997,1.216099977,23.7664787,90.3534115
88,0.880453125,-0.761699975,-0.618499994,0.490799993,23.7664768,90.3534675
89,0.890453125,-0.612299979,-1.545899987,-1.184399962,23.7664824,90.3534823
90,0.900495313,0.177299991,-2.461199999,-3.105399847,23.7664925,90.3535011
91,0.910460938,0.9199,-2.826699972,-3.303900003,23.7664802,90.3535058
92,0.920454688,0.307500005,-2.283299923,-3.244299889,23.7664916,90.3535279
93,0.930451563,-0.252799988,-1.272199988,-2.662899971,23.7664836,90.3535346
94,0.940454688,-0.745099962,-0.178199992,-2.755399942,23.7665026,90.353542
95,0.950495313,-2.168200016,0.1043,-3.179399967,23.7664842,90.353553
96,0.960460938,-2.931399822,-0.071800001,-3.107499838,23.7664989,90.3535725
97,0.970453125,-2.852900028,0.454299986,-3.200999975,23.7665069,90.3535953
98,0.980453125,-2.606400013,0.864199996,-4.560299873,23.7665066,90.3536073
99,0.990454688,-2.608299971,-0.657199979,-4.91079998,23.7664922,90.3536281
